#name      threshold
SRR014494  1
SRR014495  1
SRR029131  1
SRR032273  20
SRR032276  10
SRR032277  10
SRR032278  1
SRR033725  1
SRR033726  1
SRR034203  10
SRR037695  1
SRR037696  1
SRR037697  1
SRR037698  1
SRR037699  1
SRR037700  1
SRR037701  1
SRR037702  1
SRR037703  1
SRR037704  1
SRR037705  1
SRR037706  1
SRR037707  1
SRR037708  1
SRR037709  1
SRR038294  3
SRR038295  3
SRR038296  3
SRR038297  3
SRR038298  3
SRR038299  3
SRR038300  3
SRR038301  3
SRR038302  3
SRR038303  1
SRR038446  3
SRR038447  3
SRR038448  3
SRR038449  3
SRR038450  3
SRR038451  3
SRR038452  3
SRR038453  3
SRR038454  3
SRR038455  3
SRR038456  3
SRR038457  3
SRR038458  3
SRR038459  3
SRR038996  1
SRR038997  1
SRR038998  1
SRR038999  1
SRR039000  1
SRR039001  1
SRR039190  1
SRR039191  1
SRR039192  1
SRR039193  1
SRR039628  1
SRR039629  1
SRR039630  1
SRR039631  1
SRR039632  1
SRR039633  1
SRR058070  1
SRR058071  1
SRR058072  1
SRR066462  2
SRR066463  1
SRR066464  1
SRR066465  1
SRR066466  1
SRR066467  1
SRR066468  1
SRR077867  1
SRR077868  1
SRR077869  1
SRR090233  1
SRR095854  1
SRR101423  3
SRR101424  3
SRR101425  3
SRR101426  3
SRR191393  1
SRR191394  1
SRR191395  1
SRR191396  1
SRR191397  1
SRR191398  1
SRR191399  1
SRR191400  1
SRR191401  1
SRR191402  1
SRR191403  1
SRR191404  1
SRR191405  1
SRR191406  1
SRR191407  1
SRR191408  1
SRR191409  1
SRR191410  1
SRR191411  1
SRR191412  1
SRR191413  1
SRR191414  1
SRR191415  1
SRR191416  1
SRR191417  1
SRR191418  1
SRR191419  1
SRR191420  1
SRR191421  1
SRR191422  1
SRR191423  1
SRR191424  1
SRR191425  1
SRR191426  1
SRR191427  1
SRR191428  1
SRR191429  1
SRR191430  1
SRR191431  1
SRR191432  1
SRR191433  1
SRR191434  1
SRR191435  1
SRR191436  1
SRR191437  1
SRR191438  1
SRR191439  1
SRR191440  1
SRR191441  1
SRR191442  1
SRR191443  1
SRR191444  1
SRR191445  1
SRR191446  1
SRR191447  1
SRR191448  1
SRR191449  1
SRR191450  1
SRR191451  1
SRR191452  1
SRR191453  1
SRR191454  1
SRR191455  1
SRR191456  1
SRR191457  1
SRR191458  1
SRR191459  1
SRR191460  1
SRR191461  1
SRR191462  1
SRR191463  1
SRR191464  1
SRR191465  1
SRR191466  1
SRR191467  1
SRR191468  1
SRR191469  1
SRR191470  1
SRR191471  1
SRR191472  1
SRR191473  1
SRR191474  1
SRR191475  1
SRR191476  1
SRR191477  1
SRR191478  1
SRR191479  1
SRR191480  1
SRR191481  1
SRR191482  1
SRR191483  1
SRR191484  1
SRR191485  1
SRR191486  1
SRR191487  1
SRR191488  1
SRR191489  1
SRR191490  1
SRR191491  1
SRR191492  1
SRR191493  1
SRR191494  1
SRR191495  1
SRR191496  1
SRR191497  1
SRR191498  1
SRR191499  1
SRR191500  1
SRR191501  1
SRR191502  1
SRR191503  1
SRR191504  1
SRR191505  1
SRR191506  1
SRR191507  1
SRR191508  1
SRR191509  1
SRR191510  1
SRR191511  1
SRR191512  1
SRR191513  1
SRR191514  1
SRR191515  1
SRR191516  1
SRR191517  1
SRR191518  1
SRR191519  1
SRR191520  1
SRR191521  1
SRR191522  1
SRR191523  1
SRR191524  1
SRR191525  1
SRR191526  1
SRR191527  1
SRR191528  1
SRR191529  1
SRR191530  1
SRR191531  1
SRR191532  1
SRR191533  1
SRR191534  1
SRR191535  1
SRR191536  1
SRR191537  1
SRR191538  1
SRR191539  1
SRR191540  1
SRR191541  1
SRR191542  1
SRR191543  1
SRR191544  1
SRR191545  1
SRR191546  1
SRR191547  1
SRR191548  1
SRR191549  1
SRR191550  1
SRR191551  1
SRR191552  1
SRR191553  1
SRR191554  1
SRR191555  1
SRR191556  1
SRR191557  1
SRR191558  1
SRR191559  1
SRR191560  1
SRR191561  1
SRR191562  1
SRR191563  1
SRR191564  1
SRR191565  1
SRR191566  1
SRR191567  1
SRR191568  1
SRR191569  1
SRR191570  1
SRR191571  1
SRR191572  1
SRR191573  1
SRR191574  1
SRR191575  1
SRR191576  1
SRR191577  1
SRR191578  1
SRR191579  1
SRR191580  1
SRR191581  1
SRR191582  1
SRR191583  1
SRR191584  1
SRR191585  1
SRR191586  1
SRR191587  1
SRR191588  1
SRR191589  1
SRR191590  1
SRR191591  1
SRR191592  1
SRR191593  1
SRR191594  1
SRR191595  1
SRR191596  1
SRR191597  1
SRR191598  1
SRR191599  1
SRR191600  1
SRR191601  1
SRR191602  1
SRR191603  1
SRR191604  1
SRR191605  1
SRR191606  1
SRR191607  1
SRR191608  1
SRR191609  1
SRR191610  1
SRR191611  1
SRR191612  1
SRR191613  1
SRR191614  1
SRR191615  1
SRR191616  1
SRR191617  1
SRR191618  1
SRR191619  1
SRR191620  1
SRR191621  1
SRR191622  1
SRR191623  1
SRR191624  1
SRR191625  1
SRR191626  1
SRR191627  1
SRR191628  1
SRR191629  1
SRR191630  1
SRR191631  1
SRR191632  1
SRR191633  1
SRR191634  1
SRR191635  1
SRR191636  1
SRR191637  1
SRR191639  1
SRR191640  1
SRR191641  1
SRR191642  1
SRR191643  1
SRR191644  3
SRR191645  1
SRR191646  1
SRR191647  1
SRR191648  1
SRR191649  1
SRR191650  1
SRR191651  1
SRR191652  1
SRR191653  1
SRR191654  3
SRR191655  3
SRR191656  1
SRR191657  1
SRR191658  1
SRR191659  1
SRR191660  1
SRR191661  3
SRR191662  1
SRR191663  3
SRR191664  1
SRR191665  1
SRR191666  1
SRR191667  1
SRR191668  1
SRR191669  1
SRR191670  1
SRR191671  1
SRR191672  1
SRR191673  1
SRR191674  1
SRR191675  1
SRR191676  1
SRR191677  1
SRR191678  1
SRR191679  1
SRR191680  1
SRR191681  3
SRR191682  1
SRR191683  1
SRR191684  1
SRR191685  1
SRR191686  3
SRR191687  3
SRR191688  1
SRR191689  1
SRR191690  1
SRR191691  3
SRR191692  1
SRR191693  1
SRR191694  1
SRR191695  1
SRR191696  1
SRR191697  1
SRR191698  3
SRR191699  3
SRR191700  1
SRR191701  1
SRR191702  1
SRR191703  1
SRR191704  1
SRR191705  1
SRR191706  1
SRR191707  3
SRR191708  3
SRR191709  3
SRR191710  1
SRR191711  1
SRR191712  1
SRR191713  1
SRR191714  1
SRR191715  1
SRR191716  1
SRR191717  1
SRR191718  1
SRR192425  1
SRR192532  1
SRR192534  1
SRR192536  1
SRR201778  3
SRR201983  3
SRR201984  3
SRR201985  3
SRR201986  3
SRR223496  10
SRR223497  20
SRR223506  20
SRR223524  20
SRR223525  20
SRR243575  20
SRR243576  20
SRR243577  20
SRR243578  20
SRR299025  20
SRR299026  10
SRR299027  20
SRR299028  20
SRR299106  3
SRR299107  3
SRR299108  3
SRR299109  3
SRR299110  3
SRR299111  3
SRR299112  3
SRR299113  2
SRR299114  3
SRR299115  3
SRR299116  10
SRR306518  10
SRR306519  10
SRR306838  10
SRR306839  10
SRR306840  20
SRR306841  10
SRR306842  20
SRR306843  1
SRR306844  20
SRR306845  10
SRR306846  10
SRR306847  10
SRR306848  3
SRR306849  10
SRR306850  10
SRR306851  10
SRR306852  10
SRR306853  10
SRR306854  3
SRR306855  10
SRR306856  10
SRR306857  1
SRR306858  20
SRR307006  10
SRR307007  10
SRR307008  10
SRR309133  10
SRR309134  10
SRR309135  10
SRR309136  10
SRR309137  10
SRR309138  10
SRR309139  10
SRR309140  10
SRR309141  10
SRR309142  10
SRR309143  6
SRR309144  10
SRR309262  20
SRR315112  81
SRR315113  50
SRR315114  69
SRR315115  50
SRR315116  50
SRR326279  1
SRR326280  1
SRR326281  1
SRR326282  1
SRR332171  20
SRR346062  10
SRR346063  3
SRR346064  10
SRR346065  10
SRR346066  3
SRR346067  10
SRR346068  10
SRR346069  3
SRR346070  10
SRR346127  1
SRR346128  1
SRR346129  1
SRR346516  3
SRR346517  3
SRR346518  1
SRR346519  1
SRR350976  10
SRR350978  10
SRR353602  50
SRR353603  50
SRR353604  20
SRR353635  50
SRR353636  50
SRR353637  50
SRR353638  50
SRR353639  50
SRR353640  50
SRR353641  50
SRR353642  50
SRR353643  50
SRR353644  50
SRR353645  50
SRR353646  50
SRR353647  50
SRR353648  50
SRR353649  50
SRR353650  394
SRR353651  50
SRR353652  50
SRR353653  50
SRR353654  67
SRR353655  3
SRR353656  3
SRR353657  3
SRR353658  1
SRR353659  1
SRR353948  20
SRR358976  20
SRR359290  10
SRR359291  10
SRR363685  1
SRR363686  1
SRR363687  1
SRR363688  1
SRR363689  1
SRR363690  1
SRR363692  1
SRR363695  1
SRR363696  1
SRR363697  1
SRR363698  1
SRR363699  1
SRR363700  1
SRR363701  1
SRR364001  50
SRR364003  50
SRR364004  50
SRR364005  50
SRR364065  50
SRR364705  10
SRR364706  20
SRR387394  20
SRR387777  10
SRR387778  10
SRR387779  10
SRR387780  10
SRR388226  20
SRR388227  20
SRR388228  20
SRR388229  20
SRR389077  10
SRR389078  10
SRR389079  20
SRR389081  3
SRR389082  3
SRR389083  10
SRR389084  10
SRR393760  20
SRR393761  3
SRR393762  3
SRR393763  1
SRR393764  1
SRR393765  1
SRR393766  1
SRR393767  1
SRR403004  1
SRR403005  1
SRR403006  1
SRR403007  1
SRR403008  1
SRR403009  3
SRR403010  1
SRR403011  1
SRR403012  1
SRR403013  1
SRR403014  1
SRR403015  1
SRR403016  1
SRR403017  1
SRR403018  1
SRR403019  3
SRR403020  10
SRR408751  3
SRR408752  3
SRR408753  3
SRR408754  3
SRR408755  3
SRR408756  3
SRR424591  20
SRR445374  20
SRR448330  3
SRR448331  1
SRR449330  10
SRR449331  10
SRR449332  10
SRR449333  3
SRR449334  10
SRR449335  3
SRR449336  10
SRR449337  10
SRR449360  20
SRR449361  10
SRR454063  3
SRR454064  3
SRR454065  3
SRR454066  3
SRR456936  3
SRR456937  1
SRR490650  20
SRR492714  50
SRR493378  1
SRR493379  1
SRR493380  1
SRR496394  10
SRR496395  20
SRR496397  10
SRR496398  20
SRR497699  10
SRR497700  20
SRR497701  10
SRR497702  10
SRR497703  10
SRR497704  10
SRR497705  10
SRR497706  20
SRR497707  10
SRR497708  20
SRR497709  10
SRR499844  50
SRR500125  20
SRR500875  20
SRR500876  20
SRR500877  20
SRR500878  20
SRR500879  20
SRR500880  20
SRR500881  20
SRR500882  20
SRR500883  20
SRR500884  20
SRR500885  20
SRR500886  20
SRR500887  20
SRR500888  20
SRR500889  20
SRR500890  20
SRR503576  10
SRR503577  10
SRR503578  10
SRR515313  1
SRR518946  1
SRR518947  1
SRR518948  1
SRR518949  1
SRR518950  1
SRR518951  1
SRR518952  1
SRR518953  1
SRR518954  1
SRR518955  1
SRR518956  1
SRR518957  1
SRR518958  1
SRR518959  1
SRR518960  1
SRR522063  10
SRR522064  10
SRR522065  20
SRR522066  20
SRR522067  10
SRR522068  10
SRR522069  10
SRR522070  10
SRR522071  10
SRR522072  10
SRR522073  10
SRR522074  10
SRR522075  10
SRR522076  10
SRR522077  10
SRR522078  10
SRR522079  1
SRR522080  1
SRR522081  10
SRR522082  10
SRR522083  10
SRR522084  10
SRR522085  10
SRR522086  10
SRR522087  10
SRR522088  10
SRR522114  10
SRR522115  10
SRR522116  10
SRR522117  10
SRR522120  10
SRR522121  10
SRR522122  10
SRR522123  10
SRR522124  10
SRR522125  10
SRR522126  10
SRR522127  10
SRR522128  10
SRR522129  10
SRR522130  10
SRR522131  10
SRR522132  10
SRR522133  10
SRR522134  10
SRR522135  10
SRR522136  10
SRR522137  20
SRR522138  20
SRR522139  10
SRR522140  10
SRR522141  10
SRR522142  10
SRR522143  10
SRR522144  10
SRR522145  10
SRR522146  10
SRR522147  10
SRR522148  10
SRR522149  10
SRR522150  10
SRR525258  10
SRR527727  10
SRR527728  10
SRR527729  50
SRR527730  50
SRR527731  1
SRR527732  1
SRR537099  1
SRR537100  1
SRR537101  1
SRR537102  1
SRR537103  3
SRR537104  3
SRR537105  3
SRR537106  3
SRR537107  3
SRR537108  10
SRR537109  10
SRR537110  3
SRR537111  3
SRR537112  3
SRR537113  10
SRR537114  1
